Date,Open,High,Low,Close,Adj Close,Volume
2022-10-03,932.349976,932.849976,916.000000,930.250000,912.773010,1598950
2022-10-04,942.500000,951.000000,937.049988,946.000000,928.227112,2331351
2022-10-06,955.500000,967.950012,955.500000,964.549988,946.428650,3713623
2022-10-07,965.000000,972.950012,955.000000,957.700012,939.707336,2174327
2022-10-10,942.200012,967.150024,942.200012,963.250000,945.153076,2758812
2022-10-11,968.099976,972.000000,936.000000,938.599976,920.966125,3134969
2022-10-12,943.299988,963.900024,943.299988,952.000000,934.114380,3502390
2022-10-13,972.049988,989.049988,969.299988,982.099976,963.648865,9698562
2022-10-14,1005.000000,1023.000000,994.000000,1002.549988,983.714661,7424383
2022-10-17,1005.700012,1006.799988,991.099976,994.599976,975.914063,2136170
2022-10-18,1000.000000,1013.650024,999.099976,1009.200012,990.239746,2487826
2022-10-19,1006.500000,1006.500000,994.000000,995.650024,986.721619,2517099
2022-10-20,990.000000,1019.299988,988.000000,1017.400024,1008.276611,3931399
2022-10-21,1022.500000,1029.900024,1011.599976,1027.199951,1017.988647,2071897
2022-10-24,1035.000000,1038.849976,1030.000000,1031.599976,1022.349182,398105
2022-10-25,1036.000000,1037.250000,1020.900024,1026.500000,1017.294983,3068136
2022-10-27,1031.000000,1037.449951,1019.599976,1032.050049,1022.795227,3313674
2022-10-28,1031.949951,1039.750000,1025.500000,1030.000000,1020.763550,2423629
2022-10-31,1039.000000,1052.500000,1036.400024,1041.150024,1031.813599,2418565
2022-11-01,1049.000000,1061.849976,1045.000000,1060.050049,1050.544189,2275488
2022-11-02,1064.949951,1066.349976,1042.500000,1045.199951,1035.827271,2799322
2022-11-03,1034.000000,1049.199951,1033.099976,1045.150024,1035.777710,2396164
2022-11-04,1045.150024,1049.000000,1033.449951,1045.349976,1035.975952,1709158
2022-11-07,1048.099976,1055.699951,1038.650024,1047.150024,1037.759766,2213508
2022-11-09,1060.900024,1061.449951,1049.199951,1053.449951,1044.003296,2307691
2022-11-10,1050.000000,1062.400024,1047.050049,1052.449951,1043.012207,2321667
2022-11-11,1071.000000,1098.699951,1069.099976,1090.650024,1080.869751,3923101
2022-11-14,1095.000000,1102.949951,1090.050049,1099.000000,1089.144775,2170007
2022-11-15,1093.500000,1106.099976,1088.900024,1103.900024,1094.000854,2172420
2022-11-16,1107.500000,1112.449951,1099.349976,1105.199951,1095.289185,2213697
2022-11-17,1095.099976,1100.599976,1089.099976,1092.550049,1082.752686,2460883
2022-11-18,1098.050049,1106.000000,1084.000000,1103.150024,1093.257690,2623894
2022-11-21,1098.900024,1106.349976,1092.599976,1095.500000,1085.676270,1733741
2022-11-22,1091.099976,1105.900024,1088.000000,1103.400024,1093.505371,2529146
2022-11-23,1108.949951,1111.500000,1099.750000,1103.400024,1093.505371,2217599
2022-11-24,1106.000000,1135.000000,1103.500000,1129.599976,1119.470459,3295202
2022-11-25,1135.199951,1137.550049,1120.650024,1128.199951,1118.082886,1977441
2022-11-28,1125.000000,1132.750000,1117.000000,1118.800049,1108.767334,2368293
2022-11-29,1118.800049,1138.750000,1118.050049,1128.949951,1118.826172,1785948
2022-11-30,1127.000000,1129.900024,1117.000000,1120.800049,1110.749390,6053488
2022-12-01,1130.000000,1150.650024,1128.400024,1136.400024,1126.209473,3919684
2022-12-02,1136.400024,1140.400024,1123.849976,1135.550049,1125.367065,2944923
2022-12-05,1133.250000,1141.949951,1127.199951,1130.849976,1120.709229,2646466
2022-12-06,1121.599976,1125.000000,1107.000000,1120.949951,1110.897949,2807894
2022-12-07,1114.000000,1116.599976,1102.000000,1105.900024,1095.983032,2399879
2022-12-08,1113.750000,1113.750000,1098.800049,1101.349976,1091.473755,1752350
2022-12-09,1075.000000,1075.000000,1020.700012,1027.500000,1018.286011,12415478
2022-12-12,1025.000000,1039.150024,1012.450012,1028.400024,1019.177979,4275785
2022-12-13,1032.099976,1046.900024,1031.099976,1044.699951,1035.331665,2284909
2022-12-14,1045.000000,1057.300049,1045.000000,1056.199951,1046.728638,2425507
2022-12-15,1051.550049,1051.800049,1037.099976,1042.349976,1033.002808,1906369
2022-12-16,1030.000000,1046.449951,1022.349976,1029.650024,1020.416748,5159215
2022-12-19,1029.650024,1037.500000,1023.349976,1033.250000,1023.984436,3328172
2022-12-20,1027.000000,1033.349976,1011.500000,1029.699951,1020.466248,2629849
2022-12-21,1035.000000,1053.250000,1035.000000,1040.349976,1031.020752,2878658
2022-12-22,1046.000000,1054.650024,1033.599976,1039.099976,1029.781982,2623451
2022-12-23,1029.500000,1044.099976,1027.099976,1030.599976,1021.358154,2177675
2022-12-26,1031.000000,1041.750000,1029.000000,1031.699951,1022.448303,1680715
2022-12-27,1039.000000,1040.750000,1030.349976,1036.349976,1027.056641,554319
2022-12-28,1030.000000,1038.300049,1026.500000,1035.449951,1026.164673,1397806
2022-12-29,1030.000000,1046.000000,1028.099976,1044.449951,1035.083984,1277244
2022-12-30,1050.000000,1055.250000,1034.300049,1039.300049,1029.980225,1860560
2023-01-02,1039.099976,1042.500000,1031.500000,1039.449951,1030.128784,701880
2023-01-03,1039.000000,1045.800049,1033.500000,1041.349976,1032.011719,2484372
2023-01-04,1036.199951,1042.000000,1031.500000,1036.599976,1027.304321,1219170
